is_bad,loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,dti,delinq_2yrs,credit_length,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc
0,11200, 60 months,0.11,243.46,B,B3,RENT,29000,17.63,0,6807,0,27,,15,0,1155,11.3,24
0,10000, 36 months,0.138,340.81,C,C4,MORTGAGE,42500,0.28,0,8695,3,,92,3,1,45,0.6,16
0,8000, 36 months,0.1,258.1,B,B1,RENT,53052,18.95,0,5895,0,,,4,0,4556,53.6,7
0,5750, 36 months,0.08,180.19,A,A3,RENT,70000,2.59,0,9303,1,,,11,0,5231,2.4,20
0,13000, 36 months,0.089,412.8,A,A5,RENT,25000,14.59,0,5558,1,,,13,0,11338,18.6,30
0,4000, 36 months,0.19,146.69,E,E2,MORTGAGE,80000,20.59,1,8695,2,15,,30,0,6654,22.6,56
1,6000, 36 months,0.089,190.52,A,A5,MORTGAGE,71000,13.81,0,7690,0,,,14,0,6953,67.5,24
0,14075, 60 months,0.127,317.95,C,C1,MORTGAGE,61200,20.94,0,6716,3,,,8,0,3943,33.4,20
0,5500, 36 months,0.126,184.29,C,C2,RENT,48000,2.6,0,5043,0,,,4,0,3935,46.3,5
0,3300, 36 months,0.085,104.16,A,A5,RENT,28956,24.08,1,6838,2,16,,11,0,3349,21.2,20
0,12500, 36 months,0.115,412.15,B,B4,MORTGAGE,60000,1.36,1,13534,0,11,,12,0,2193,10.5,21
1,8000, 60 months,0.149,189.95,D,D2,RENT,44000,7.15,0,5499,0,,,8,0,4913,63.4,12
0,8000, 60 months,0.156,192.77,D,D3,MORTGAGE,55000,12.56,0,5589,2,,,7,0,4280,28.2,8
0,13000, 36 months,0.054,392.08,A,A1,MORTGAGE,70000,13.53,0,12043,3,26,,12,0,73764,22.5,39
0,2400, 36 months,0.136,81.59,D,D5,RENT,47600,15.53,0,6351,1,34,0,6,0,1233,35.2,7
0,8000, 60 months,0.184,204.85,E,E2,MORTGAGE,36000,21.9,3,7781,1,9,,6,0,6965,89.3,20
0,6000, 36 months,0.1,193.61,B,B2,MORTGAGE,79992,21.75,1,8845,0,23,,13,0,16156,74.5,30
0,3200, 36 months,0.115,105.51,B,B4,RENT,31000,19.66,0,9395,2,31,,11,0,3058,28.8,12
0,24000, 60 months,0.115,527.71,B,B4,RENT,60000,19.94,0,8391,0,,,9,0,22253,44,27
0,12000, 60 months,0.167,296.24,E,E3,MORTGAGE,250000,1.42,4,14296,5,15,,5,0,427,23.7,43
0,1200, 36 months,0.152,41.73,D,D2,MORTGAGE,24000,3.25,0,5681,0,,,5,0,1680,56,7
0,7000, 36 months,0.122,233.27,C,C1,RENT,25000,21.36,0,6869,0,55,,4,0,1333,83.3,19
0,5000, 36 months,0.073,155.05,A,A4,MORTGAGE,65000,2.33,1,11798,1,17,,8,0,2937,10.8,17
0,14500, 36 months,0.147,500.17,C,C3,RENT,90000,5.24,0,7142,1,42,,17,0,15077,46.7,28
1,10000, 36 months,0.165,353.78,E,E1,RENT,55000,16.97,0,10459,0,44,,5,0,3052,41.8,22
0,5000, 36 months,0.141,171.15,D,D1,RENT,159996,6.84,0,9273,0,,,11,0,18115,98.5,35
0,9600, 36 months,0.16,337.28,D,D4,RENT,45000,17.28,0,7264,7,78,88,11,1,3102,48.5,29
1,15000, 60 months,0.16,364.38,E,E1,RENT,70000,6.17,0,6076,0,,,3,0,4789,47.9,3
0,8000, 36 months,0.075,248.89,A,A3,RENT,51400,1.77,0,5408,2,,,7,0,1744,16,9
0,16750, 36 months,0.125,560.57,B,B5,RENT,33000,17.38,1,6199,1,19,,6,0,0,0,20
0,6000, 60 months,0.073,119.63,A,A4,MORTGAGE,130000,7.76,0,10856,0,38,,13,0,4039,14.8,38
0,25000, 60 months,0.136,576.67,C,C2,MORTGAGE,137004,20.69,0,10429,0,,,15,0,116150,54.6,34
0,15600, 60 months,0.147,368.27,C,C3,OWN,48575,22.33,0,13959,1,,,15,0,9877,56.8,22
0,25000, 36 months,0.107,815.4,B,B4,MORTGAGE,155000,12.4,0,11221,0,,,9,0,23039,26.6,36
0,8000, 36 months,0.122,266.52,B,B5,MORTGAGE,81847,6.03,0,11160,5,,98,9,1,11754,41,21
1,6500, 36 months,0.127,218.02,C,C1,MORTGAGE,55200,20.39,2,8146,0,17,,9,0,35294,95.9,49
1,15000, 36 months,0.115,494.57,B,B4,MORTGAGE,120000,9.69,0,7384,0,54,,10,0,7796,32.2,27
0,30000, 36 months,0.089,952.6,A,A5,MORTGAGE,2.00E+05,6.71,0,7781,0,,,11,0,8937,20.8,17
0,12000, 36 months,0.117,396.92,B,B3,RENT,47840,24.18,0,6229,0,,,8,0,21507,68.5,8
0,16400, 36 months,0.11,536.84,B,B3,RENT,61000,0.98,0,5316,5,,,8,0,1939,6.2,9
0,20000, 36 months,0.132,676.02,C,C2,OWN,61000,9.68,0,10337,3,,113,7,1,1284,6.3,22
0,6000, 36 months,0.089,190.52,A,A5,OWN,27600,21.83,0,5408,0,,,5,0,7135,46.6,6
0,6200, 36 months,0.06,188.71,A,A1,RENT,65000,0.65,0,7295,0,,,7,0,1252,4.5,12
0,4750, 36 months,0.071,146.98,A,A3,MORTGAGE,56000,8.46,0,8756,0,,,5,0,13923,77.3,12
1,8000, 36 months,0.122,266.4,B,B4,RENT,36000,17.27,0,8177,3,,110,9,1,7976,47.2,15
1,1750, 36 months,0.157,61.27,D,D4,RENT,22800,24.89,0,7599,1,27,,3,0,192,48,5
0,1800, 60 months,0.156,43.37,D,D5,MORTGAGE,40000,16.47,0,9090,4,41,,9,0,8747,74.8,16
0,15000, 36 months,0.104,486.69,B,B1,MORTGAGE,90474,9.64,0,15696,1,48,,20,0,22400,19.9,62
0,20000, 60 months,0.069,270.21,A,A5,MORTGAGE,130000,5.39,0,9303,0,,,6,0,20964,35.6,29
0,14550, 36 months,0.117,481.26,B,B3,MORTGAGE,45000,15.6,0,7934,0,,,4,0,17588,93.1,13
1,25000, 36 months,0.125,836.66,C,C1,RENT,115000,1.39,0,6565,1,,,9,0,30215,49.6,17
0,10000, 36 months,0.107,325.74,B,B2,RENT,51400,19.14,0,7507,3,,,10,0,10160,59.1,24
0,16750, 36 months,0.115,552.27,B,B4,RENT,46199,23.42,0,8480,4,,,6,0,22558,76.5,11
0,14000, 60 months,0.153,335.13,D,D3,MORTGAGE,82000,14.59,0,9972,8,,,10,0,31830,41.3,28
0,12000, 36 months,0.073,372.12,A,A4,MORTGAGE,61000,5.08,0,6229,0,,,5,0,12653,48.9,14
0,20000, 60 months,0.169,495.87,D,D4,RENT,120000,15.23,0,9242,1,,,11,0,25822,71.1,27
0,15000, 36 months,0.16,527.29,D,D2,MORTGAGE,1.00E+05,9.13,0,9487,0,43,87,10,1,9331,79.1,24
0,20000, 60 months,0.221,553.07,F,F4,MORTGAGE,55200,16.76,0,18465,1,38,,26,0,26676,33.1,53
0,35000, 36 months,0.107,1140.07,B,B2,MORTGAGE,112800,14.35,0,12317,1,,,17,0,38121,59.6,35
0,30000, 60 months,0.135,690.15,C,C1,MORTGAGE,145000,5.74,0,13047,3,,,6,0,28648,61,26
0,9100, 36 months,0.06,276.97,A,A1,MORTGAGE,75000,13.15,0,12164,0,,,13,0,13901,29.8,33
0,12000, 36 months,0.135,407.17,C,C1,RENT,75000,19.09,0,8907,1,78,,12,0,16865,70,32
0,35000, 60 months,0.193,567.69,E,E4,RENT,65000,20.62,0,7142,3,,93,11,1,14658,68.2,27
0,16000, 36 months,0.142,548.55,C,C5,RENT,50000,13.73,0,7356,0,,,5,0,20791,94.5,10
0,8000, 36 months,0.106,260.48,B,B3,RENT,85000,17.92,0,8664,0,28,,4,0,28824,39.2,7
0,5000, 36 months,0.11,163.68,B,B4,RENT,137481,4.81,1,13108,0,16,,5,0,20042,50.9,34
0,2800, 36 months,0.096,89.85,B,B3,RENT,47000,13.53,0,5954,0,,,7,0,7686,78.4,10
0,11975, 36 months,0.163,422.73,D,D1,RENT,58344,6.38,0,7903,1,56,,6,0,11927,75.5,19
0,6000, 60 months,0.152,143.47,C,C5,RENT,32400,21.22,0,7384,1,,,8,0,14667,69.2,15
0,8000, 36 months,0.079,250.25,A,A5,MORTGAGE,122000,7.55,0,8087,5,,,8,0,62681,25.9,25
1,8000, 36 months,0.168,284.31,D,D2,MORTGAGE,65000,3.01,0,5043,1,,,5,0,6526,94.6,8
0,9600, 36 months,0.1,309.77,B,B2,MORTGAGE,82000,21.73,1,10887,6,6,,15,0,111611,17.4,24
0,7500, 36 months,0.104,243.35,B,B1,RENT,52000,16.57,0,9487,1,37,,7,0,5437,22.4,41
0,16800, 60 months,0.16,408.1,D,D4,RENT,180000,21.17,0,7568,0,,,16,0,12318,78,61
0,4800, 36 months,0.069,148.04,A,A3,RENT,55000,15.75,0,9729,0,,,8,0,10572,53.9,18
0,11200, 36 months,0.117,370.46,B,B3,RENT,78402,10.24,1,8391,0,5,,3,0,1094,31.3,16
0,10000, 36 months,0.111,327.91,B,B5,RENT,65496,13.81,0,12651,1,26,,11,0,5205,13.4,39
0,15000, 36 months,0.099,483.16,B,B1,MORTGAGE,2.00E+05,3.74,0,11190,1,,,10,0,12147,67.5,18
0,5000, 36 months,0.107,163.01,B,B5,MORTGAGE,30000,20.28,0,7934,0,,,13,0,6024,45.3,24
0,21000, 36 months,0.132,709.18,C,C3,MORTGAGE,114000,15.02,0,13412,2,,101,12,1,18071,65.5,24
0,5000, 36 months,0.11,163.67,B,B3,OWN,37560,26.84,0,7568,0,,,4,0,17596,96.2,8
0,10500, 60 months,0.131,239.23,C,C2,RENT,75000,6.22,0,5864,2,,,11,0,72,0.6,12
0,8000, 36 months,0.122,266.6,C,C1,RENT,61000,23.08,0,7295,5,,,7,0,9433,76.3,13
1,21000, 60 months,0.183,536.13,D,D5,MORTGAGE,1.00E+05,13.31,0,9607,1,,,16,0,13931,75.8,24
0,6000, 36 months,0.096,192.57,A,A5,RENT,28000,1.76,0,6838,1,,,6,0,1292,4.3,8
0,25000, 36 months,0.161,879.85,D,D5,OWN,130000,19.62,0,13016,0,,,9,0,61165,91.3,28
0,5000, 36 months,0.115,164.86,B,B4,MORTGAGE,37500,6.62,0,7019,1,,,4,0,7187,92.1,21
1,2100, 60 months,0.148,49.78,D,D3,RENT,45000,14.11,1,6960,3,17,,7,0,3641,79.2,19
1,11200, 36 months,0.14,382.69,C,C3,RENT,52800,24.94,0,7446,1,,,8,0,10290,85,12
1,6000, 36 months,0.16,210.83,C,C5,MORTGAGE,39168,24.85,0,8817,1,36,77,13,1,6347,81.6,30
0,4000, 36 months,0.1,129.07,B,B2,RENT,58000,20.32,0,7629,0,,,12,0,6790,52.6,29
0,29000, 36 months,0.157,1014.55,D,D4,MORTGAGE,88812.93,18.56,0,9668,2,,,8,0,33844,85.9,27
0,5000, 60 months,0.16,121.57,D,D2,RENT,42000,21.17,0,13320,2,,,25,0,9669,16.6,37
0,15850, 60 months,0.186,408.03,E,E1,MORTGAGE,43000,23.44,0,8876,2,,,9,0,5049,48.5,12
0,20000, 60 months,0.184,512.13,E,E2,MORTGAGE,115000,7.78,0,8664,2,44,,7,0,12340,71.3,46
0,22500, 36 months,0.118,745.52,B,B3,MORTGAGE,93000,10.89,0,13686,0,,,13,0,60376,47.9,27
0,2100, 36 months,0.122,69.97,B,B5,RENT,10000,19.68,0,5650,0,,,3,0,603,6.2,4
0,24000, 36 months,0.15,831.52,D,D2,OWN,350000,11.38,0,12621,7,,,13,0,1207359,56,33
0,12000, 60 months,0.167,296.24,E,E3,MORTGAGE,51996,23.96,0,6138,3,,,8,0,8437,63,14
0,14000, 36 months,0.075,435.56,A,A4,MORTGAGE,140000,3.05,0,18707,0,28,,21,0,16621,20.6,50
0,7150, 36 months,0.07,220.74,A,A3,RENT,61200,11.02,0,7812,0,,,12,0,6577,51,20
0,15500, 60 months,0.135,356.58,C,C1,RENT,40000,11.19,0,8207,2,,,6,0,17554,57,8
0,2500, 36 months,0.111,82.01,B,B1,RENT,25000,7.58,0,7476,0,81,,6,0,7090,73.1,10
1,24000, 36 months,0.184,872.88,F,F2,OWN,6.00E+05,7.09,0,10247,1,31,,9,0,58222,39,38
0,12000, 36 months,0.11,392.83,B,B4,MORTGAGE,95000,4.47,0,12529,0,81,,4,0,13855,42.5,21
0,16000, 36 months,0.06,486.97,A,A1,RENT,85000,5.15,0,5530,0,,,6,0,802,0.9,9
0,17725, 60 months,0.117,391.7,B,B3,MORTGAGE,57000,28.25,0,9699,0,,,18,0,25136,36.2,41
0,18050, 36 months,0.1,582.43,B,B2,MORTGAGE,75288,7.73,0,9273,0,47,,6,0,18352,61.2,19
0,15000, 36 months,0.167,532.48,E,E3,MORTGAGE,124000,18.56,0,7599,4,,,11,0,117200,91.2,16
0,10000, 36 months,0.168,355.64,E,E2,RENT,60000,9.52,0,8786,5,,,4,0,1293,39.2,17
0,8000, 36 months,0.115,263.75,B,B2,RENT,36000,2.9,0,6046,1,,,7,0,2980,31.7,10
0,3000, 36 months,0.107,97.72,B,B2,RENT,21000,20.11,0,5558,0,,,4,0,2797,93.2,8
0,5000, 36 months,0.054,150.8,A,A1,MORTGAGE,36600,23.67,0,6960,0,,,10,0,624,3.5,33
0,1000, 36 months,0.119,33.17,B,B4,MORTGAGE,87000,5.57,1,12835,0,13,,5,0,5742,55.2,18
0,14400, 36 months,0.079,450.44,A,A5,MORTGAGE,96216,1.91,0,9913,2,,,14,0,3351,0.4,47
0,4200, 36 months,0.06,127.76,A,A2,MORTGAGE,63096,2.66,0,13412,1,,,9,0,6367,37.3,14
0,25000, 60 months,0.239,717.9,G,G4,RENT,2.00E+05,9.55,0,18283,1,,,29,0,29680,45.8,41
0,9000, 36 months,0.075,279.92,A,A4,MORTGAGE,35500,23.8,1,7234,1,18,,17,0,5739,26.7,28
0,24625, 36 months,0.184,504.13,G,G5,RENT,84000,23.04,0,11555,3,39,0,13,0,24280,93.4,38
0,12000, 60 months,0.149,284.92,D,D2,MORTGAGE,36000,13.43,0,8511,3,82,63,8,1,5049,78.9,17
0,3000, 36 months,0.096,96.29,A,A5,OWN,30000,0.68,0,7203,0,,,8,0,893,38.8,11
0,10400, 60 months,0.11,226.07,B,B3,OWN,42000,13.51,0,6351,0,,,7,0,1741,18.7,15
0,12000, 60 months,0.19,311.56,F,F3,MORTGAGE,1.00E+05,24.57,0,8786,5,,,15,0,26561,91.5,39
0,16000, 36 months,0.065,101.97,A,A4,MORTGAGE,1.00E+05,6.05,0,11464,0,79,,5,0,11006,65.1,36
0,15000, 36 months,0.148,518.74,D,D3,MORTGAGE,150000,14.9,0,8452,6,,,14,0,10976,68.6,22
0,15000, 36 months,0.089,476.58,A,A5,RENT,62280,7.78,0,11374,1,,,10,0,13316,33.3,34
0,10400, 36 months,0.054,313.67,A,A1,RENT,65000,16.8,0,8238,0,,,9,0,18550,46.4,24
0,27525, 36 months,0.107,897.75,B,B4,MORTGAGE,80070,15.42,0,15239,0,,,15,0,52856,74.7,39
0,10000, 36 months,0.13,336.9,C,C1,MORTGAGE,72972.35,24.16,0,11068,1,,,10,0,17312,60.3,15
0,1000, 60 months,0.134,22.94,C,C4,MORTGAGE,36000,10.8,0,5650,0,,,9,0,7496,85.2,13
0,9600, 36 months,0.12,318.82,B,B5,RENT,35000,12.82,0,6412,0,69,38,10,1,10862,71.6,22
0,3000, 36 months,0.107,97.81,B,B5,RENT,42264,16.83,1,7142,2,23,,11,0,8911,53.4,19
0,25000, 36 months,0.106,814,B,B3,MORTGAGE,133119,19.36,0,10064,1,,,13,0,10461,64.6,55
0,15000, 36 months,0.096,481.41,B,B1,MORTGAGE,60996,17.82,0,11343,0,,,14,0,58504,30.9,34
1,5000, 36 months,0.137,170.21,C,C5,RENT,28000,12.21,1,5834,1,22,,12,0,6347,70,16
0,8000, 36 months,0.122,266.4,B,B4,RENT,40000,19.32,0,6412,0,34,,7,0,2707,31.5,13
0,5000, 36 months,0.058,151.64,A,A2,MORTGAGE,25040,16.29,0,11068,0,,,5,0,50638,8.5,8
0,12000, 36 months,0.106,390.72,B,B3,MORTGAGE,150000,12.93,0,9273,1,76,,12,0,58179,84.2,46
0,3200, 36 months,0.075,99.56,A,A4,MORTGAGE,48000,14.65,0,8207,0,,,8,0,7062,50.1,22
0,8000, 36 months,0.15,277.16,D,D2,RENT,120000,11.7,0,11190,3,,,10,0,18131,81.1,25
0,6000, 36 months,0.075,186.61,A,A4,OWN,14400,10.08,0,9456,0,,,5,0,6940,31.7,7
0,9600, 36 months,0.117,317.53,B,B3,RENT,53000,18.18,0,12348,0,,,9,0,9066,63.8,18
0,13850, 36 months,0.129,465.82,C,C1,MORTGAGE,42452,21.14,0,7903,2,,,13,0,42470,82.6,17
0,22500, 60 months,0.173,562.46,D,D3,MORTGAGE,67735,18.8,0,6260,2,,,8,0,18364,75.6,16
0,3600, 36 months,0.1,116.15,B,B4,OWN,35000,3.81,2,7873,0,5,,5,0,1919,9.7,17
0,30000, 36 months,0.156,1049.1,D,D1,MORTGAGE,125004,16.07,0,10582,1,24,,19,0,35178,50.3,34
0,4325, 36 months,0.075,134.52,A,A4,MORTGAGE,44300,5.47,0,9821,0,73,110,9,1,5074,35.2,34
0,20000, 36 months,0.111,532.93,B,B3,RENT,62400,20.77,0,10490,0,,,7,0,27750,40.3,18
1,20000, 36 months,0.168,711.27,E,E2,MORTGAGE,88000,15.38,0,9638,0,34,,16,0,15847,45.5,43
0,10000, 36 months,0.073,310.1,A,A4,RENT,75000,0.72,0,6076,1,,,7,0,370,2.1,8
1,7000, 36 months,0.15,242.52,D,D2,MORTGAGE,43800,12.66,0,9426,1,32,,14,0,3294,70.1,30
0,3000, 36 months,0.156,104.91,C,C4,RENT,60000,20.24,0,7873,0,26,,10,0,10026,77.7,23
0,9325, 36 months,0.165,329.97,F,F4,RENT,50000,26.86,0,8452,0,0,0,10,0,18579,82.9,20
0,6000, 36 months,0.071,185.65,A,A3,MORTGAGE,49800,9.61,0,18679,2,,,7,0,2834,4.8,27
0,5000, 60 months,0.111,109.02,B,B3,MORTGAGE,40000,14.58,0,7812,2,,,17,0,7497,12.1,30
0,12500, 36 months,0.15,433.08,D,D2,MORTGAGE,62400,14.88,0,8299,0,29,,8,0,1268,31.7,19
0,5000, 60 months,0.165,122.79,E,E1,RENT,48000,19.93,0,14265,5,33,,9,0,4187,63.4,13
0,4650, 36 months,0.066,142.78,A,A2,OWN,37000,9.54,0,8998,0,,,7,0,8619,57.1,15
0,1800, 36 months,0.102,58.26,B,B1,OWN,42000,11.09,0,7081,2,49,,7,0,3628,26.1,13
0,2000, 36 months,0.111,65.61,B,B1,RENT,42000,13.49,0,9668,0,,,9,0,11817,15.7,42
1,15000, 60 months,0.126,218.78,C,C2,RENT,33600,8.04,0,6534,0,,,3,0,11,0.4,20
0,12000, 36 months,0.134,406.36,C,C4,RENT,42500,15.76,0,6626,0,,,7,0,6775,97.7,7
0,21200, 60 months,0.184,344.41,E,E2,OWN,54000,14.36,1,12529,0,23,,4,0,8828,58.9,22
1,5000, 60 months,0.152,119.51,D,D2,RENT,82000,10.38,0,7384,1,,116,11,1,5045,71.1,16
0,14000, 36 months,0.186,510.64,E,E1,MORTGAGE,357000,16.42,0,12164,3,,,26,0,24199,46.8,63
0,13750, 36 months,0.142,471.41,C,C5,MORTGAGE,30000,18.88,1,10337,1,15,,24,0,9301,14.9,37
0,4000, 36 months,0.11,130.94,B,B3,MORTGAGE,52800,15.43,0,9456,1,61,101,7,1,6286,48.7,20
0,2000, 36 months,0.087,63.32,B,B1,RENT,70000,6.07,0,7568,1,24,0,13,0,5967,19.8,17
0,4800, 60 months,0.122,107.34,C,C1,MORTGAGE,92000,21.65,1,10887,1,12,,14,0,3565,79.2,30
0,2750, 36 months,0.17,97.98,E,E5,RENT,4200,0,0,5742,0,,,6,0,0,,6
0,6000, 60 months,0.11,130.43,B,B3,MORTGAGE,67200,7.68,0,8937,0,,,16,0,12007,39.5,30
0,8400, 36 months,0.122,279.72,B,B4,MORTGAGE,35000,24.69,0,7142,1,43,,12,0,17411,64,21
0,9600, 36 months,0.147,331.15,C,C3,RENT,60000,8.24,0,9941,1,37,,13,0,6725,70.4,28
0,25000, 36 months,0.111,819.78,B,B5,RENT,60000,22.5,0,9151,0,36,,8,0,30862,58.5,25
